periodo,provincia,provincia_id,efectores_pagos,monto_ms
2013-01-01,La Rioja,46,2120.0,150600.0
2013-01-01,Mendoza,50,5399.0,396325.0
2013-01-01,Misiones,54,14027.0,913700.0
2013-01-01,Neuquén,58,984.0,63950.0
2013-01-01,Río Negro,62,5361.0,395128.25
2013-01-01,Salta,66,2458.0,175050.0
2013-01-01,San Juan,70,2289.0,168350.0
2013-01-01,San Luis,74,952.0,71150.0
2013-01-01,Santa Cruz,78,55.0,3300.0
2013-01-01,Santa Fe,82,6072.0,493400.0
2013-01-01,Santiago del Estero,86,2777.0,220600.0
2013-01-01,Tucumán,90,14662.0,1107450.0
2013-01-01,Tierra del Fuego,94,93.0,5500.0
2013-02-01,Ciudad de Buenos Aires,02,2559.0,166150.0
2013-02-01,Buenos Aires,06,136342.0,10262000.4799999
2013-02-01,Catamarca,10,3259.0,244689.0
2013-02-01,Córdoba,14,4108.0,310395.0
2013-02-01,Corrientes,18,7377.0,711149.45
2013-02-01,Chaco,22,6512.0,392500.0
2013-02-01,Chubut,26,743.0,56100.0
2013-02-01,Entre Ríos,30,7791.0,584649.75
2013-02-01,Formosa,34,3492.0,248200.0
2013-02-01,Jujuy,38,4329.0,276800.0
2013-02-01,La Pampa,42,1423.0,106265.0
2013-02-01,La Rioja,46,2071.0,147150.0
2013-02-01,Mendoza,50,5506.0,401200.0
2013-02-01,Misiones,54,14421.0,937975.0
2013-02-01,Neuquén,58,1024.0,65465.0
2013-02-01,Río Negro,62,5453.0,399537.77
2013-02-01,Salta,66,2482.0,178850.0
2013-02-01,San Juan,70,2269.0,168900.0
2013-02-01,San Luis,74,932.0,69350.0
2013-02-01,Santa Cruz,78,60.0,3600.0
2013-02-01,Santa Fe,82,6353.0,513450.0
2013-02-01,Santiago del Estero,86,2772.0,223750.0
2013-02-01,Tucumán,90,15013.0,1143422.58
2013-02-01,Tierra del Fuego,94,92.0,5350.0
2013-03-01,Ciudad de Buenos Aires,02,2733.0,177800.0
2013-03-01,Buenos Aires,06,135447.0,10272045.8
2013-03-01,Catamarca,10,3260.0,251000.0
2013-03-01,Córdoba,14,4426.0,335230.0
2013-03-01,Corrientes,18,7653.0,734263.429999999
2013-03-01,Chaco,22,6355.0,385215.0
2013-03-01,Chubut,26,780.0,58539.0
2013-03-01,Entre Ríos,30,7729.0,586300.0
2013-03-01,Formosa,34,3414.0,242800.0
2013-03-01,Jujuy,38,4486.0,287768.67
2013-03-01,La Pampa,42,1492.0,110550.0
2013-03-01,La Rioja,46,2087.0,151250.0
2013-03-01,Mendoza,50,5602.0,409632.339999999
2013-03-01,Misiones,54,16007.0,1028350.0
2013-03-01,Neuquén,58,1100.0,69845.0
2013-03-01,Río Negro,62,5579.0,409948.8
2013-03-01,Salta,66,2547.0,182650.0
2013-03-01,San Juan,70,2189.0,165467.98
2013-03-01,San Luis,74,1023.0,75900.0
2013-03-01,Santa Cruz,78,67.0,4100.0
2013-03-01,Santa Fe,82,6603.0,531899.95
2013-03-01,Santiago del Estero,86,2642.0,221900.0
2013-03-01,Tucumán,90,14473.0,1116600.0
2013-03-01,Tierra del Fuego,94,95.0,5600.0
2013-04-01,Ciudad de Buenos Aires,02,2838.0,185300.0
2013-04-01,Buenos Aires,06,135858.0,10415327.91
2013-04-01,Catamarca,10,3276.0,252950.0
2013-04-01,Córdoba,14,4604.0,345448.0
2013-04-01,Corrientes,18,7554.0,726461.57
2013-04-01,Chaco,22,5233.0,325650.0
2013-04-01,Chubut,26,792.0,58900.0
2013-04-01,Entre Ríos,30,7907.0,596750.2
2013-04-01,Formosa,34,3298.0,237700.0
2013-04-01,Jujuy,38,4497.0,286350.0
2013-04-01,La Pampa,42,1520.0,112650.0
2013-04-01,La Rioja,46,2081.0,151300.0
2013-04-01,Mendoza,50,5738.0,416910.0
2013-04-01,Misiones,54,15521.0,1007496.31
2013-04-01,Neuquén,58,1119.0,70850.0
2013-04-01,Río Negro,62,5720.0,417441.65
2013-04-01,Salta,66,2600.0,185450.0
2013-04-01,San Juan,70,2188.0,164800.0
2013-04-01,San Luis,74,1047.0,76800.0
2013-04-01,Santa Cruz,78,74.0,4150.0
2013-04-01,Santa Fe,82,6923.0,553340.52
